Title,Surname,Status
Earl Attlee[220],Attlee,extant
Earl of Woolton[221],Marquis,extant
Earl of Avon[222],Eden,extinct
Earl of Snowdon[223],Armstrong-Jones,extant
Earl of Kilmuir[224],Fyfe,extinct
Earl Alexander of Hillsborough[225],Alexander,extinct
Earl of Stockton[226],Macmillan,extant
Earl of Inverness[227],Mountbatten-Windsor,extant
Earl of Wessex[228],Mountbatten-Windsor,extant
Earl of Strathearn[229],Mountbatten-Windsor,extant
Earl of Dumbarton,Mountbatten-Windsor,extant
Earl of Forfar[230],Mountbatten-Windsor,extant
Viscount St Vincent[226],Jervis,extant
Viscount Nelson[227],Nelson,extinct 21 October 1805
Viscount Uffington[228],Craven,extant
Viscount Cranley[228],Onslow,extant
Viscount Marsham[228],Marsham,extant
Viscount Grey de Wilton[228],Egerton,extant
Viscount Curzon[229],Curzon,extant
Viscount Melville[230],Dundas,extant
Viscount Clive[231],Clive,extant
Viscount Sidmouth[232],Addington,extant
Viscount Merton[233],Nelson,extant
Viscount Anson[234],Anson,extant
Viscount Howick[235],Grey,extant
Viscount Lake[236],Lake,extinct 24 June 1848
Viscount Cathcart[237],Cathcart,extant
Viscount Sandon[238],Ryder,extant
Viscount Wellington[239],Wellesley,extant
Viscount Normanby[240],Phipps,extant
Viscount Lascelles[241],Lascelles,extant
Viscount Melgund[242],Elliot-Murray-Kynynmound,extant
Viscount Whitworth[243],Whitworth,extinct 12 May 1825
Viscount Keith[244],Elphinstone,extinct 10 March 1823
Viscount Gordon[245],Gordon,extant
Viscount Granville[246],Leveson-Gower,extant
Viscount Grimston[247],Grimston,extant
Viscount Alford[247],Cust,extinct 17 March 1921
Viscount Boringdon[247],Parker,extant
Viscount Newport[247],Bridgeman,extant
Viscount Elmley[247],Lygon,extinct 1979
Viscount Exmouth[248],Pellew,extant
Viscount Loudoun[249],Rawdon-Hastings,extinct 1 November 1868
Viscount Encombe[250],Scott,extant
Viscount Savernake[251],Brudenell-Bruce,extant
Viscount Eastnor[251],Cocks,extinct 26 September 1883
Viscount Dunwich[251],Rous,extant
Viscount Hutchinson[251],Hely-Hutchinson,extant
Viscount Beresford[252],Beresford,extinct 1854
Viscount Seaham[252],Vane,extant
Viscount Clancarty[253],Trench,extant
Viscount Holmesdale[254],Amherst,extinct 4 March 1993
Viscount Combermere[255],Cotton,extant
Viscount Goderich[256],Robinson,extinct 22 September 1923
Viscount Ednam[257],Ward,extinct 6 March 1833
Viscount Emlyn[257],Campbell,extant
Viscountess Canning[258],Canning,extinct 17 June 1862
Viscount FitzClarence[259],FitzClarence,extinct 30 December 2000
Viscount Lambton[260],Lambton,extant
Viscount Canterbury[261],Manners-Sutton,extinct 26 February 1941
Viscount Coke[262],Coke,extant
Viscount Ockham[263],King,extinct 5 February 2018
Viscount Ponsonby[264],Ponsonby,extinct 21 February 1855
Viscount Campden[265],Noel,extant
Viscount Hill[266],Hill,extant
Viscount Southam[267],Law,extinct 22 December 1871
Viscount Hardinge[268][269],Hardinge,extant
Viscount Brackley[270],Egerton,extant
Viscount Enfield[271],Byng,extant
Viscount Gough[272],Gough,extinct 14 April 2023
Viscount Crowhurst[273],Pepys,extant
Viscount Stratford de Redcliffe[274],Canning,extinct 14 August 1880
Viscount Dangan[275],Wellesley,extant
Viscount Eversley[276],Shaw-Lefevre,extinct 28 December 1888
Viscount Ednam[277],Ward,extant
Viscount Amberley[278],Russell,extant
Viscountess Tarbat[279],Leveson-Gower,extant
Viscount Halifax[280],Wood,extant
Viscount Bridport[281],Hood,extant
Viscount Helmsley[282],Duncombe,extinct 4 September 1963
Viscountess Beaconsfield[283],Disraeli,extinct 15 December 1872
Viscount Clandeboye[284],Blackwood,extinct 1988
Viscount Ossington[285],Denison,extinct 7 March 1873
Viscount Portman[286],Portman,extant
Viscount Cardwell[287],Cardwell,extinct 15 February 1886
Viscount Carlton[288],Stuart-Wortley-Mackenzie,extant
Viscount Baring[289],Baring,extinct 12 April 1929
Viscount Hughenden[290],Disraeli,extinct 19 April 1881
Viscount Cranbrook[291],Hardy,extant
Viscount Garmoyle[292],Cairns,extant
Viscount Knebworth[293],Bulwer-Lytton,extant
Viscount Throwley[294],Milles,extinct 2 December 1996
Viscount Sherbrooke[295],Lowe,extinct 27 July 1892
Viscount Lyons[296],Lyons,extinct 5 December 1887
Viscount Wolmer[297],Palmer,extant
Viscount Hampden[298],Brand,extant
Viscount Saint Cyres[299],Northcote,extant
Viscount Wolseley[300],Wolseley,extinct 24 December 1936
Viscount Oxenbridge[301],Monson,extinct 16 April 1898
Viscount Cross[302],Cross,extinct 5 December 2004
Viscount Raincliffe[303],Denison,extinct 17 April 1937
Viscountess Hambleden[304],Smith,extant
Viscount Peel[305],Peel,extant
Viscount Wendover[306],Carington,extinct 13 June 1928
Viscount Knutsford[307],Holland,extant
Viscount Llandaff[307],Matthews,extinct 13 April 1913
Viscount Salford[308],Egerton,extinct 16 March 1909
Viscount Esher[309],Brett,extant
Viscount Tiverton[310],Giffard,extinct 31 December 2010
Viscount Cromer[311],Baring,extant
Viscount Goschen[312],Goschen,extant
Viscount Ridley[312],Ridley,extant
Viscount St Pierre[313],Roberts,extinct 21 February 1955
Viscount Errington[314],Baring,extant
Viscount Kitchener of Khartoum[315],Kitchener,extinct 16 December 2011
Viscount Colville of Culross[316],Colville,extant
Viscount Churchill[317],Spencer,extinct 18 October 2017
Viscount Milner[317],Milner,extinct 13 May 1925
Viscount Selby[318],Gully,extant
Viscount Windsor[319],Windsor-Clive,extant
Viscount Iveagh[319],Guinness,extant
Viscount Althorp[320],Spencer,extant
Viscount Hawkesbury[321],Foljambe,extant
